Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,3,65.0,8450,1,3,3,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,2,196.0,4,3,2,4,3,1,6,1,856,1,5,1,3,1710,1,0,2,1,3,1,4,8,6,0,0,5,2003.0,2,2,548,3,3,2,0,61,0,0,0,0,0,2,2008,8,4,208500
2,20,3,80.0,9600,1,3,3,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,0,0.0,3,3,1,4,3,4,5,1,1262,1,5,1,3,1262,0,1,2,0,3,1,3,6,6,1,3,5,1976.0,2,2,460,3,3,2,298,0,0,0,0,0,0,5,2007,8,4,181500
3,60,3,68.0,11250,1,0,3,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,2,162.0,4,3,2,4,3,2,6,1,920,1,5,1,3,1786,1,0,2,1,3,1,4,6,6,1,3,5,2001.0,2,2,608,3,3,2,0,42,0,0,0,0,0,9,2008,8,4,223500
4,70,3,60.0,9550,1,0,3,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,0,0.0,3,3,0,3,4,1,5,1,756,1,4,1,3,1717,1,0,1,0,3,1,4,7,6,1,4,2,1998.0,1,3,642,3,3,2,0,35,272,0,0,0,0,2,2006,8,0,140000
5,60,3,84.0,14260,1,0,3,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,2,350.0,4,3,2,4,3,3,6,1,1145,1,5,1,3,2198,1,0,2,1,4,1,4,9,6,1,3,5,2000.0,2,3,836,3,3,2,192,84,0,0,0,0,0,12,2008,8,4,250000
6,50,3,85.0,14115,1,0,3,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,0,0.0,3,3,5,4,3,1,6,1,796,1,5,1,3,1362,1,0,1,1,1,1,3,5,6,0,0,5,1993.0,1,2,480,3,3,2,40,30,0,320,0,0,700,10,2009,8,4,143000
7,20,3,75.0,10084,1,3,3,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,4,186.0,4,3,2,5,3,3,6,1,1686,1,5,1,3,1694,1,0,2,0,3,1,4,7,6,1,4,5,2004.0,2,2,636,3,3,2,255,57,0,0,0,0,0,8,2007,8,4,307000
8,60,3,80.0,10382,1,0,3,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,4,240.0,3,3,1,4,3,2,5,4,1107,1,5,1,3,2090,1,0,2,1,3,1,3,7,6,2,3,5,1973.0,2,2,484,3,3,2,235,204,228,0,0,0,350,11,2009,8,4,200000
9,50,4,51.0,6120,1,3,3,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,0,0.0,3,3,0,3,3,1,1,1,952,1,4,1,2,1774,0,0,2,0,2,2,3,8,2,2,3,2,1931.0,1,2,468,2,3,2,90,0,205,0,0,0,0,4,2008,8,0,129900
10,190,3,50.0,7420,1,3,3,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,0,0.0,3,3,0,3,3,1,6,1,991,1,5,1,3,1077,1,0,1,0,2,2,3,5,6,2,3,5,1939.0,2,1,205,4,3,2,0,4,0,0,0,0,0,1,2008,8,4,118000
11,20,3,70.0,11200,1,3,3,4,0,19,2,2,0,2,5,5,1965,1965,3,1,6,6,0,0.0,3,3,1,3,3,1,3,1,1040,1,5,1,3,1040,1,0,1,0,3,1,3,5,6,0,0,2,1965.0,1,1,384,3,3,2,0,0,0,0,0,0,0,2,2008,8,4,129500
12,60,3,85.0,11924,1,0,3,4,0,16,2,2,0,5,9,5,2005,2006,3,1,14,15,4,286.0,5,3,2,5,3,1,6,1,1175,1,5,1,3,2324,1,0,3,0,4,1,5,11,6,2,4,6,2005.0,3,3,736,3,3,2,147,21,0,0,0,0,0,7,2006,6,5,345000
13,20,3,71.0,12968,1,1,3,4,0,19,2,2,0,2,5,6,1962,1962,3,1,6,10,0,0.0,3,3,1,3,3,1,5,1,912,1,3,1,3,912,1,0,1,0,2,1,3,4,6,0,0,2,1962.0,1,1,352,3,3,2,140,0,0,0,176,0,0,9,2008,8,4,144000
14,20,3,91.0,10652,1,0,3,4,0,5,2,2,0,2,7,5,2006,2007,1,1,12,13,4,306.0,4,3,2,4,3,3,1,1,1494,1,5,1,3,1494,0,0,2,0,3,1,4,7,6,1,4,5,2006.0,2,3,840,3,3,2,160,33,0,0,0,0,0,8,2007,6,5,279500
15,20,3,73.0,10920,1,0,3,0,0,12,2,2,0,2,6,5,1960,1960,3,1,8,8,2,212.0,3,3,1,3,3,1,4,1,1253,1,3,1,3,1253,1,0,1,1,2,1,3,5,6,1,2,5,1960.0,2,1,352,3,3,2,0,213,176,0,0,0,0,5,2008,8,4,157000
16,45,4,51.0,6120,1,3,3,0,0,3,2,2,0,1,7,8,1929,2001,1,1,13,14,0,0.0,3,3,0,3,3,1,1,1,832,1,5,1,2,854,0,0,1,0,2,1,3,5,6,0,0,2,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,0,7,2007,8,4,132000
17,20,3,73.0,11241,1,0,3,1,0,12,2,2,0,2,6,7,1970,1970,1,1,13,14,2,180.0,3,3,1,3,3,1,5,1,1004,1,5,1,3,1004,1,0,1,0,2,1,3,5,6,1,3,5,1970.0,3,2,480,3,3,2,0,0,0,0,0,0,700,3,2010,8,4,149000
18,90,3,72.0,10791,1,3,3,4,0,19,2,2,2,2,4,5,1967,1967,1,1,8,8,0,0.0,3,3,3,0,0,0,0,0,0,1,3,1,3,1296,0,0,2,0,2,2,3,6,6,0,0,1,1967.0,1,2,516,3,3,2,0,0,0,0,0,0,500,10,2006,8,4,90000
19,20,3,66.0,13695,1,3,3,4,0,20,5,2,0,2,5,5,2004,2004,1,1,12,13,0,0.0,3,3,2,3,3,1,6,1,1114,1,5,1,3,1114,1,0,1,1,3,1,4,6,6,0,0,2,2004.0,1,2,576,3,3,2,0,102,0,0,0,0,0,6,2008,8,4,159000
20,20,3,70.0,7560,1,3,3,4,0,12,2,2,0,2,5,6,1958,1965,3,1,3,10,0,0.0,3,3,1,3,3,1,2,1,1029,1,3,1,3,1339,0,0,1,0,3,1,3,6,2,0,0,5,1958.0,1,1,294,3,3,2,0,0,0,0,0,0,0,5,2009,0,0,139000
21,60,3,101.0,14215,1,0,3,0,0,16,2,2,0,5,8,5,2005,2006,1,1,12,13,2,380.0,4,3,2,5,3,3,1,1,1158,1,5,1,3,2376,0,0,3,1,4,1,4,9,6,1,4,6,2005.0,2,3,853,3,3,2,240,154,0,0,0,0,0,11,2006,6,5,325300
22,45,4,57.0,7449,1,3,0,4,0,9,2,2,0,1,7,7,1930,1950,1,1,13,14,0,0.0,3,3,2,3,3,1,1,1,637,1,5,1,2,1108,0,0,1,0,3,1,4,6,6,1,4,5,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,0,6,2007,8,4,139400
23,20,3,75.0,9742,1,3,3,4,0,5,2,2,0,2,8,5,2002,2002,3,1,12,13,2,281.0,4,3,2,4,3,1,1,1,1777,1,5,1,3,1795,0,0,2,0,3,1,4,7,6,1,4,5,2002.0,2,2,534,3,3,2,171,159,0,0,0,0,0,9,2008,8,4,230000
24,120,4,44.0,4224,1,3,3,4,0,10,2,2,4,2,5,7,1976,1976,1,1,5,5,0,0.0,3,3,2,4,3,1,6,1,1040,1,3,1,3,1060,1,0,1,0,3,1,3,6,6,1,3,5,1976.0,1,2,572,3,3,2,100,110,0,0,0,0,0,6,2007,8,4,129900
25,20,3,71.0,8246,1,0,3,4,0,19,2,2,0,2,5,8,1968,2001,1,1,9,10,0,0.0,3,4,1,3,3,2,3,5,1060,1,5,1,3,1060,1,0,1,0,3,1,4,6,6,1,3,5,1968.0,1,1,270,3,3,2,406,90,0,0,0,0,0,5,2010,8,4,154000
26,20,3,110.0,14230,1,3,3,0,0,16,2,2,0,2,8,5,2007,2007,1,1,12,13,4,640.0,4,3,2,4,3,1,1,1,1566,1,5,1,3,1600,0,0,2,0,3,1,4,7,6,1,4,5,2007.0,2,3,890,3,3,2,0,56,0,0,0,0,0,7,2009,8,4,256300
27,20,3,60.0,7200,1,3,3,0,0,12,2,2,0,2,5,7,1951,2000,1,1,13,14,0,0.0,3,3,1,3,3,2,4,3,900,1,3,1,3,900,0,1,1,0,3,1,4,5,6,0,0,2,2005.0,1,2,576,3,3,2,222,32,0,0,0,0,0,5,2010,8,4,134800
28,20,3,98.0,11478,1,3,3,4,0,16,2,2,0,2,8,5,2007,2008,1,1,12,13,4,200.0,4,3,2,5,3,1,6,1,1704,1,5,1,3,1704,1,0,2,0,3,1,4,7,6,1,4,5,2008.0,2,3,772,3,3,2,0,50,0,0,0,0,0,5,2010,8,4,306000
29,20,3,47.0,16321,1,0,3,1,0,12,2,2,0,2,5,6,1957,1997,1,1,8,8,0,0.0,3,3,1,3,3,4,4,1,1484,1,3,1,3,1600,1,0,1,0,2,1,3,6,6,2,4,5,1957.0,2,1,319,3,3,2,288,258,0,0,0,0,0,12,2006,8,4,207500
30,30,4,60.0,6324,1,0,3,4,0,3,1,7,0,2,4,6,1927,1950,1,1,8,8,0,0.0,3,3,0,3,3,1,1,1,520,1,2,0,3,520,0,0,1,0,1,1,2,4,6,0,0,2,1920.0,1,1,240,2,3,2,49,0,87,0,0,0,0,5,2008,8,4,68500
31,70,0,50.0,8500,1,3,3,4,0,9,1,2,0,5,4,4,1920,1950,2,1,3,3,0,0.0,3,2,0,3,3,1,1,1,649,1,3,0,3,1317,0,0,1,0,3,1,3,6,6,0,0,2,1920.0,1,1,250,3,2,0,0,54,172,0,0,0,0,7,2008,8,4,40000
32,20,3,71.0,8544,1,0,3,1,0,19,2,2,0,2,5,6,1966,2006,1,1,6,6,0,0.0,3,3,1,3,3,1,1,1,1228,1,4,1,3,1228,0,0,1,1,3,1,4,6,6,0,0,5,1966.0,1,1,271,3,3,2,0,65,0,0,0,0,0,6,2008,8,4,149350
33,20,3,85.0,11049,1,3,3,0,0,5,2,2,0,2,8,5,2007,2007,1,1,12,13,0,0.0,4,3,2,5,3,3,1,1,1234,1,5,1,3,1234,0,0,2,0,3,1,4,7,6,0,0,5,2007.0,2,2,484,3,3,2,0,30,0,0,0,0,0,1,2008,8,4,179900
34,20,3,70.0,10552,1,0,3,4,0,12,2,2,0,2,5,5,1959,1959,3,1,3,3,0,0.0,3,3,1,3,3,1,3,1,1398,1,4,1,3,1700,0,1,1,1,4,1,4,6,6,1,4,5,1959.0,2,2,447,3,3,2,0,38,0,0,0,0,0,4,2010,8,4,165500
35,120,3,60.0,7313,1,3,3,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,2,246.0,5,3,2,5,3,1,6,1,1561,1,5,1,3,1561,1,0,2,0,2,1,5,6,6,1,4,5,2005.0,3,2,556,3,3,2,203,47,0,0,0,0,0,8,2007,8,4,277500
36,60,3,108.0,13418,1,3,3,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,4,132.0,4,3,2,5,3,3,1,1,1117,1,5,1,3,2452,0,0,3,1,4,1,4,9,6,1,4,6,2004.0,3,3,691,3,3,2,113,32,0,0,0,0,0,9,2006,8,4,309000
37,20,3,112.0,10859,1,3,3,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,0,0.0,3,3,2,4,3,1,1,1,1097,1,5,1,3,1097,0,0,1,1,3,1,3,6,6,0,0,5,1995.0,1,2,672,3,3,2,392,64,0,0,0,0,0,6,2009,8,4,145000
38,20,3,74.0,8532,1,3,3,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,2,650.0,3,3,1,3,3,1,3,1,1297,1,4,1,3,1297,0,1,1,0,3,1,3,5,6,1,3,5,1954.0,3,2,498,3,3,2,0,0,0,0,0,0,0,10,2009,8,4,153000
39,20,3,68.0,7922,1,3,3,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,0,0.0,3,4,1,3,3,1,6,1,1057,1,3,1,3,1057,1,0,1,0,3,1,4,5,6,0,0,2,1953.0,1,1,246,3,3,2,0,52,0,0,0,0,0,1,2010,8,0,109000
40,90,3,65.0,6040,1,3,3,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,0,0.0,3,3,2,0,0,0,0,0,0,1,3,0,1,1152,0,0,2,0,2,2,2,6,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2008,8,1,82000
41,20,3,84.0,8658,1,3,3,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,2,101.0,3,3,1,3,3,1,3,1,1088,1,5,1,3,1324,0,0,2,0,3,1,3,6,6,1,3,5,1965.0,2,2,440,3,3,2,0,138,0,0,0,0,0,12,2006,8,0,160000
42,20,3,115.0,16905,1,3,3,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,0,0.0,3,4,1,3,3,4,4,1,1350,1,4,1,3,1328,0,1,1,1,2,1,3,5,6,2,4,5,1959.0,2,1,308,3,3,1,0,104,0,0,0,0,0,7,2007,8,4,170000
43,85,3,66.5,9180,1,0,3,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,0,0.0,3,3,1,4,3,3,5,2,840,1,4,1,3,884,1,0,1,0,2,1,4,5,6,0,0,5,1983.0,2,2,504,3,4,2,240,0,0,0,0,0,0,12,2007,8,4,144000
